설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2002,F42***,11,건물용 기계 및 장비 설치 공사업,소기업,기타,인천광역시 서구,40억미만,10억미만,40억미만,4.55,45.2,1.46,40억미만,20억미만,30억미만,4.26,44.2,0.96,40억미만,20억미만,30억미만,5.95,40.9,0.79,40억미만,20억미만,30억미만,3.56,,1.15,30억미만,10억미만,20억미만,3.97,,0.86,부
2002,S95***,11,자동차 종합 수리업,중기업,기타,인천 부평구,130억미만,70억미만,60억미만,1.1,48.7,1.89,120억미만,70억미만,50억미만,1.17,47,1.82,130억미만,70억미만,60억미만,1.09,19.4,2.08,120억미만,70억미만,60억미만,1.25,,1.95,130억미만,70억미만,60억미만,1.21,42.7,1.89,부
2005,C30***,11,그 외 자동차용 신품 부품 제조업,소기업,기타,경기도 화성시,90억미만,60억미만,30억미만,1.11,32.7,1.53,90억미만,60억미만,30억미만,0.96,30.4,1.74,90억미만,60억미만,30억미만,1.02,29.5,1.65,80억미만,70억미만,20억미만,0.79,29.4,1.92,80억미만,60억미만,20억미만,0.63,33.1,2.21,부
2002,C25***,11,구조용 금속 판제품 및 공작물 제조업,소기업,기타,경기도 안성시,70억미만,60억미만,10억미만,1.13,-1.8,1.46,70억미만,60억미만,20억미만,1.5,-6.2,1.33,80억미만,60억미만,30억미만,2.1,12.3,1.11,80억미만,60억미만,30억미만,2.54,,1.01,80억미만,50억미만,30억미만,3.41,,0.94,부
2005,G46***,11,과실류 도매업,소기업,기타,서울특별시 송파구,20억미만,20억미만,10억미만,23.6,2.52,0.08,20억미만,20억미만,10억미만,51,4.53,0.12,20억미만,10억미만,20억미만,37,6.37,0.11,20억미만,10억미만,20억미만,25.2,,0.17,20억미만,10억미만,20억미만,53.3,5.16,0.08,부
2002,G46***,11,육류 도매업,소기업,외감법인,광주광역시 북구,210억미만,130억미만,90억미만,7.79,3.89,0.38,180억미만,100억미만,90억미만,9.61,0.26,0.36,180억미만,80억미만,100억미만,10.7,4.74,0.41,190억미만,100억미만,100억미만,6.86,3.98,0.46,160억미만,70억미만,100억미만,8.07,,0.42,여
2006,C30***,11,그 외 자동차용 신품 부품 제조업,중기업,외감법인,대구광역시 달서구,300억미만,220억미만,90억미만,3.35,29.9,0.63,260억미만,190억미만,70억미만,3.01,30.1,0.7,230억미만,170억미만,60억미만,2.87,28.3,0.66,210억미만,150억미만,60억미만,2.85,26.2,0.7,180억미만,130억미만,60억미만,2.63,,0.8,여
2004,C30***,11,자동차 차체용 신품 부품 제조업,중기업,외감법인,부산 기장군,400억미만,180억미만,220억미만,4.4,20.7,1,370억미만,170억미만,210억미만,4.07,21.2,0.99,340억미만,150억미만,190억미만,3.83,22.8,0.99,300억미만,130억미만,170억미만,3.61,,0.92,280억미만,130억미만,150억미만,2.94,20.8,1.06,여
2006,G45***,11,자동차용 전용 신품 부품 판매업,중기업,기타,경기 파주시,70억미만,40억미만,30억미만,11.9,15.2,0.54,60억미만,40억미만,20억미만,10,15.6,0.54,50억미만,40억미만,20억미만,7.68,16.1,0.52,50억미만,40억미만,20억미만,7.24,,0.5,40억미만,30억미만,10억미만,6.59,14.2,0.47,여
1999,H52***,11,"화물운송 중개, 대리 및 관련 서비스업",소기업,기타,서울특별시 송파구,50억미만,30억미만,20억미만,11.9,18.1,0.58,50억미만,40억미만,20억미만,3.99,35.5,0.91,50억미만,40억미만,20억미만,3.75,17.4,0.68,50억미만,40억미만,20억미만,3.41,,0.86,40억미만,30억미만,20억미만,2.77,,1.04,부
2005,C30***,11,그 외 자동차용 신품 부품 제조업,소기업,기타,충남 아산시,60억미만,40억미만,30억미만,1.12,38.2,1.61,60억미만,40억미만,30억미만,1.32,37.2,1.4,60억미만,40억미만,30억미만,1.21,35.7,1.48,60억미만,40억미만,30억미만,1,,1.76,60억미만,40억미만,20억미만,0.86,,1.98,부
2006,G46***,11,1차 금속제품 도매업,중기업,외감법인,부산 기장군,280억미만,200억미만,80억미만,1.69,6.52,0.93,270억미만,200억미만,80억미만,1.53,6.17,0.98,260억미만,190억미만,80억미만,1.64,9.46,1.02,230억미만,150억미만,80억미만,1.8,,0.95,230억미만,160억미만,80억미만,1.96,,0.93,여
2005,G46***,11,플라스틱물질 및 합성고무 도매업,소기업,기타,경기도 부천시,40억미만,30억미만,20억미만,12.9,2.89,0.27,50억미만,30억미만,20억미만,14.3,3.04,0.26,40억미만,30억미만,20억미만,24,3.33,0.21,30억미만,20억미만,10억미만,22.7,,0.23,30억미만,20억미만,10억미만,15.1,,0.24,부
2004,M71***,11,광고 대행업,소기업,기타,경기 의왕시,30억미만,10억미만,20억미만,1.46,47,2.04,30억미만,10억미만,20억미만,1.44,42,1.9,20억미만,10억미만,20억미만,1.26,18.4,2.28,20억미만,10억미만,20억미만,0.64,,4.23,30억미만,10억미만,20억미만,2.74,,1.26,여
1999,J63***,11,포털 및 기타 인터넷 정보매개 서비스업,중기업,기타,서울특별시 송파구,140억미만,20억미만,120억미만,9.08,66.9,1.45,120억미만,20억미만,110억미만,8.61,76.4,1.32,100억미만,10억미만,90억미만,,78.9,1.07,140억미만,50억미만,90억미만,2.44,,1.6,130억미만,30억미만,110억미만,6.34,78.7,1.69,여
